,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00
Net Non Operating Interest Income Expense,7974,56176000000.0,51412000000.0,25377000000.0,3036000000.0,,,,,
Interest Expense Non Operating,7974,,166000000.0,122000000.0,281000000.0,177000000.0,,,,
Interest Income Non Operating,7974,56176000000.0,51412000000.0,25499000000.0,3317000000.0,,,,,
Operating Income,7974,282554000000.0,528942000000.0,504375000000.0,592761000000.0,,,,,
Operating Expense,7974,427614000000.0,425393000000.0,381065000000.0,353283000000.0,,,,,
Gross Profit,7974,710168000000.0,954335000000.0,885440000000.0,946044000000.0,,,,,
Cost Of Revenue,7974,454754000000.0,717530000000.0,716237000000.0,749299000000.0,,,,,
Total Revenue,7974,1164922000000.0,1671865000000.0,1601677000000.0,1695344000000.0,,,,,
Operating Revenue,7974,1164922000000.0,1671865000000.0,1601677000000.0,1695344000000.0,,,,,
Tax Effect Of Unusual Items,8411,5558161900.0,11661086000.0,-2989371259.775805,4424512500.0,,,,,
Tax Rate For Calcs,8411,0.2533,0.2845,0.28093,0.1005,,,,,
Total Unusual Items,8411,21943000000.0,40988000000.0,-10641000000.0,44025000000.0,,,,,
Total Unusual Items Excluding Goodwill,8411,21943000000.0,40988000000.0,-10641000000.0,44025000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,8411,885433000000.0,678993000000.0,555527000000.0,530479000000.0,,,,,
Reconciled Depreciation,8411,205922000000.0,178193000000.0,166937000000.0,165638000000.0,,,,,
Net Interest Income,8411,1045255000000.0,887609000000.0,960574000000.0,993456000000.0,,,,,
Interest Expense,8411,4954945000000.0,4884924000000.0,2217636000000.0,315550000000.0,,,,,
Interest Income,8411,6000200000000.0,5772533000000.0,3178210000000.0,1309006000000.0,,,,,
Normalized Income,8411,869048161900.0,649666086000.0,563178628740.2242,490878512500.0,,,,,
Net Income From Continuing And Discontinued Operation,8411,885433000000.0,678993000000.0,555527000000.0,530479000000.0,,,,,
Diluted Average Shares,8411,2528304000.0,2534675000.0,2534355000.0,2534962000.0,,,,,
Basic Average Shares,8411,2528302000.0,2534673000.0,2534340000.0,2534897000.0,,,,,
Diluted EPS,8411,350.2,267.88,219.19,209.26,,,,,
Basic EPS,8411,350.2,267.88,219.2,209.27,,,,,
Diluted NI Availto Com Stockholders,8411,885433000000.0,678993000000.0,555527000000.0,530479000000.0,,,,,
Net Income Common Stockholders,8411,885433000000.0,678993000000.0,555527000000.0,530479000000.0,,,,,
Net Income,8411,885433000000.0,678993000000.0,555527000000.0,530479000000.0,,,,,
Minority Interests,8411,-3234000000.0,-4305000000.0,-4602000000.0,-12703000000.0,,,,,
Net Income Including Noncontrolling Interests,8411,888667000000.0,683299000000.0,560130000000.0,543183000000.0,,,,,
Net Income Continuous Operations,8411,888668000000.0,683300000000.0,560130000000.0,543184000000.0,,,,,
Tax Provision,8411,301416000000.0,271735000000.0,218834000000.0,60688000000.0,,,,,
Pretax Income,8411,1190084000000.0,955035000000.0,778964000000.0,603872000000.0,,,,,
Special Income Charges,8411,21943000000.0,40988000000.0,-10641000000.0,44025000000.0,,,,,
Gain On Sale Of Business,8411,,0.0,-2301000000.0,0.0,-3320000000.0,,,,
Other Special Charges,8411,-45213000000.0,-48951000000.0,-43205000000.0,-71610000000.0,,,,,
Impairment Of Capital Assets,8411,23270000000.0,7963000000.0,51545000000.0,27585000000.0,,,,,
Gain On Sale Of Security,8411,161293000000.0,61104000000.0,98089000000.0,29557000000.0,,,,,
Selling General And Administration,8411,1840702000000.0,1663951000000.0,1445283000000.0,1392896000000.0,,,,,
General And Administrative Expense,8411,1840702000000.0,1663951000000.0,1445283000000.0,1392896000000.0,,,,,
Other Gand A,8411,1840702000000.0,1663951000000.0,1445283000000.0,1392896000000.0,,,,,
Salaries And Wages,8411,,,,,685692000000.0,,,,
Total Revenue,8411,3645206000000.0,2971068000000.0,2670039000000.0,2519461000000.0,,,,,
Operating Revenue,8411,3645206000000.0,2971068000000.0,2670039000000.0,2519461000000.0,,,,,
Occupancy And Equipment,8411,,,,,206470000000.0,,,,
Other Non Interest Expense,8411,631546000000.0,312992000000.0,357744000000.0,357053000000.0,,,,,
Tax Effect Of Unusual Items,8766,-2163798000.0,-3460164000.0,9037624000.0,-756860000.0,,,,,
Tax Rate For Calcs,8766,0.273,0.183,0.331,0.26,,,,,
Total Unusual Items,8766,-7926000000.0,-18908000000.0,27304000000.0,-2911000000.0,,,,,
Total Unusual Items Excluding Goodwill,8766,-7926000000.0,-18908000000.0,27304000000.0,-2911000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,8766,1055276000000.0,695808000000.0,374605000000.0,420484000000.0,,,,,
Reconciled Depreciation,8766,236858000000.0,212320000000.0,193206000000.0,161906000000.0,,,,,
EBIT,8766,1477194000000.0,847870000000.0,533612000000.0,562670000000.0,,,,,
Net Interest Income,8766,-26922000000.0,-26009000000.0,-13950000000.0,-8398000000.0,,,,,
Interest Expense,8766,26922000000.0,26009000000.0,13950000000.0,8398000000.0,,,,,
Interest Income,8766,1000365000000.0,893461000000.0,663170000000.0,560082000000.0,,,,,
Normalized Income,8766,1061038202000.0,711255836000.0,356338624000.0,422638140000.0,,,,,
Net Income From Continuing And Discontinued Operation,8766,1055276000000.0,695808000000.0,374605000000.0,420484000000.0,,,,,
Total Expenses,8766,6133890000000.0,6258447000000.0,5794443000000.0,5197362000000.0,,,,,
Diluted Average Shares,8766,1946429098.0,1979032396.0,2009575667.0,2056961158.0,,,,,
Basic Average Shares,8766,1946429098.0,1979032396.0,2009454159.0,2056279000.0,,,,,
Diluted EPS,8766,542.16,351.59,186.41,204.42,,,,,
Basic EPS,8766,542.16,351.59,186.42,204.48,,,,,
Diluted NI Availto Com Stockholders,8766,1055276000000.0,695808000000.0,374605000000.0,420484000000.0,,,,,
Net Income Common Stockholders,8766,1055276000000.0,695808000000.0,374605000000.0,420484000000.0,,,,,
Net Income,8766,1055276000000.0,695808000000.0,374605000000.0,420484000000.0,,,,,
Minority Interests,8766,1533000000.0,24497000000.0,27952000000.0,10070000000.0,,,,,
Net Income Including Noncontrolling Interests,8766,1053742000000.0,671310000000.0,346652000000.0,410414000000.0,,,,,
Net Income Continuous Operations,8766,1053743000000.0,671311000000.0,346653000000.0,410414000000.0,,,,,
Tax Provision,8766,396529000000.0,150550000000.0,173009000000.0,143858000000.0,,,,,
Pretax Income,8766,1450272000000.0,821861000000.0,519662000000.0,554272000000.0,,,,,
Other Income Expense,8766,181136000000.0,170604000000.0,139663000000.0,133914000000.0,,,,,
Special Income Charges,8766,-7926000000.0,-18908000000.0,27304000000.0,-2911000000.0,,,,,
Other Special Charges,8766,10491000000.0,12013000000.0,-29237000000.0,12376000000.0,,,,,
Write Off,8766,2566000000.0,8702000000.0,3740000000.0,764000000.0,,,,,
Restructuring And Mergern Acquisition,8766,-5131000000.0,-1807000000.0,-1807000000.0,-10229000000.0,,,,,
Net Non Operating Interest Income Expense,8766,-26922000000.0,-26009000000.0,-13950000000.0,-8398000000.0,,,,,
Interest Expense Non Operating,8766,26922000000.0,26009000000.0,13950000000.0,8398000000.0,,,,,
Other Operating Expenses,8766,18108000000.0,17264000000.0,29866000000.0,15046000000.0,,,,,
Selling General And Administration,8766,1401394000000.0,1255677000000.0,1140954000000.0,1002477000000.0,,,,,
Total Revenue,8766,7584167000000.0,7080313000000.0,6314108000000.0,5751641000000.0,,,,,
Operating Revenue,8766,7584167000000.0,7080313000000.0,6314108000000.0,5751641000000.0,,,,,
Net Policyholder Benefits And Claims,8766,3580149000000.0,3285526000000.0,2968389000000.0,2572515000000.0,,,,,
Tax Effect Of Unusual Items,9022,1072015000.0,1842827000.0,966900000.0,942210772.342498,,,,,
Tax Rate For Calcs,9022,0.281,0.287,0.275,0.256454,,,,,
Normalized EBITDA,9022,929117000000.0,834405000000.0,601341000000.0,215643000000.0,,,,,
Total Unusual Items,9022,3815000000.0,6421000000.0,3516000000.0,3674000000.0,,,,,
Total Unusual Items Excluding Goodwill,9022,3815000000.0,6421000000.0,3516000000.0,3674000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9022,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,,,,,
Reconciled Depreciation,9022,208042000000.0,216406000000.0,219614000000.0,207039000000.0,,,,,
Reconciled Cost Of Revenue,9022,928899000000.0,912306000000.0,847847000000.0,773583000000.0,,,,,
EBITDA,9022,932932000000.0,840826000000.0,604857000000.0,219317000000.0,,,,,
EBIT,9022,724890000000.0,624420000000.0,385243000000.0,12278000000.0,,,,,
Net Interest Income,9022,-69598000000.0,-75759000000.0,-76989000000.0,-76602000000.0,,,,,
Interest Expense,9022,79015000000.0,79092000000.0,79111000000.0,79023000000.0,,,,,
Interest Income,9022,9417000000.0,3333000000.0,2122000000.0,2421000000.0,,,,,
Normalized Income,9022,455680015000.0,379832827000.0,216867900000.0,-54659789227.6575,,,,,
Net Income From Continuing And Discontinued Operation,9022,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,,,,,
Total Expenses,9022,1129052000000.0,1103025000000.0,1025781000000.0,933430000000.0,,,,,
Total Operating Income As Reported,9022,702794000000.0,607381000000.0,374503000000.0,1708000000.0,,,,,
Diluted Average Shares,9022,983993732.0,984003993.0,983995743.0,983988000.0,,,,,
Basic Average Shares,9022,983993732.0,984003993.0,983995743.0,983988000.0,,,,,
Diluted EPS,9022,465.88,390.66,222.99,-52.774,,,,,
Basic EPS,9022,465.88,390.66,222.99,-52.774,,,,,
Diluted NI Availto Com Stockholders,9022,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,,,,,
Net Income Common Stockholders,9022,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,,,,,
Otherunder Preferred Stock Dividend,9022,0.0,0.0,0.0,0.0,,,,,
Net Income,9022,458423000000.0,384411000000.0,219417000000.0,-51928000000.0,,,,,
Minority Interests,9022,-5968000000.0,-4350000000.0,-2680000000.0,-2300000000.0,,,,,
Net Income Including Noncontrolling Interests,9022,464391000000.0,388761000000.0,222098000000.0,-49627000000.0,,,,,
Net Income Continuous Operations,9022,464392000000.0,388761000000.0,222098000000.0,-49628000000.0,,,,,
Tax Provision,9022,181483000000.0,156567000000.0,84034000000.0,-17117000000.0,,,,,
Pretax Income,9022,645875000000.0,545328000000.0,306132000000.0,-66745000000.0,,,,,
Other Non Operating Income Expenses,9022,3261000000.0,2223000000.0,17000000.0,484000000.0,,,,,
Special Income Charges,9022,-3416000000.0,-1616000000.0,527000000.0,3530000000.0,,,,,
Other Special Charges,9022,2698000000.0,1539000000.0,-527000000.0,-3530000000.0,,,,,
Write Off,9022,718000000.0,77000000.0,,1312000000.0,4930000000.0,,,,
Net Non Operating Interest Income Expense,9022,-69598000000.0,-75759000000.0,-76989000000.0,-76602000000.0,,,,,
Interest Expense Non Operating,9022,79015000000.0,79092000000.0,79111000000.0,79023000000.0,,,,,
Interest Income Non Operating,9022,9417000000.0,3333000000.0,2122000000.0,2421000000.0,,,,,
Operating Income,9022,702795000000.0,607382000000.0,374504000000.0,1709000000.0,,,,,
Operating Expense,9022,200153000000.0,190719000000.0,177934000000.0,159847000000.0,,,,,
Gross Profit,9022,902948000000.0,798101000000.0,552438000000.0,161556000000.0,,,,,
Cost Of Revenue,9022,928899000000.0,912306000000.0,847847000000.0,773583000000.0,,,,,
Total Revenue,9022,1831847000000.0,1710407000000.0,1400285000000.0,935139000000.0,,,,,
Operating Revenue,9022,1831847000000.0,1710407000000.0,1400285000000.0,935139000000.0,,,,,
Tax Effect Of Unusual Items,9104,1915798000.0,4007410000.0,283088000.0,263510000.0,,,,,
Tax Rate For Calcs,9104,0.058,0.11,0.026,0.026,,,,,
Normalized EBITDA,9104,565918000000.0,379767000000.0,920200000000.0,820649000000.0,,,,,
Total Unusual Items,9104,33031000000.0,36431000000.0,10888000000.0,10135000000.0,,,,,
Total Unusual Items Excluding Goodwill,9104,33031000000.0,36431000000.0,10888000000.0,10135000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9104,425492000000.0,261651000000.0,796060000000.0,708819000000.0,,,,,
Reconciled Depreciation,9104,127576000000.0,102473000000.0,94660000000.0,86399000000.0,,,,,
Reconciled Cost Of Revenue,9104,1457805000000.0,1378965000000.0,1376504000000.0,1117405000000.0,,,,,
EBITDA,9104,598949000000.0,416198000000.0,931088000000.0,830784000000.0,,,,,
EBIT,9104,471373000000.0,313725000000.0,836428000000.0,744385000000.0,,,,,
Net Interest Income,9104,-2579000000.0,1293000000.0,-2795000000.0,-4452000000.0,,,,,
Interest Expense,9104,18638000000.0,18308000000.0,17268000000.0,11392000000.0,,,,,
Interest Income,9104,16059000000.0,19601000000.0,14473000000.0,6940000000.0,,,,,
Normalized Income,9104,394376798000.0,229227410000.0,785455088000.0,698947510000.0,,,,,
Net Income From Continuing And Discontinued Operation,9104,425492000000.0,261651000000.0,796060000000.0,708819000000.0,,,,,
Total Expenses,9104,1624618000000.0,1524779000000.0,1503274000000.0,1214304000000.0,,,,,
Total Operating Income As Reported,9104,150851000000.0,103132000000.0,108709000000.0,55005000000.0,,,,,
Diluted Average Shares,9104,359231711.0,362874974.0,362420385.0,361463459.0,,,,,
Basic Average Shares,9104,358581000.0,361971363.0,361183288.0,359778000.0,,,,,
Diluted EPS,9104,1184.45,721.05,2196.51,1960.97,,,,,
Basic EPS,9104,1186.6,722.85,2204.04,1970.16,,,,,
Diluted NI Availto Com Stockholders,9104,425492000000.0,261651000000.0,796060000000.0,708819000000.0,,,,,
Net Income Common Stockholders,9104,425492000000.0,261651000000.0,796060000000.0,708819000000.0,,,,,
Otherunder Preferred Stock Dividend,9104,0.0,0.0,0.0,0.0,,,,,
Net Income,9104,425492000000.0,261651000000.0,796060000000.0,708819000000.0,,,,,
Minority Interests,9104,-978000000.0,-1221000000.0,-2182000000.0,-5335000000.0,,,,,
Net Income Including Noncontrolling Interests,9104,426470000000.0,262873000000.0,798242000000.0,714154000000.0,,,,,
Net Income Continuous Operations,9104,426471000000.0,262873000000.0,798243000000.0,714154000000.0,,,,,
Tax Provision,9104,26264000000.0,32544000000.0,20917000000.0,18839000000.0,,,,,
Pretax Income,9104,452735000000.0,295417000000.0,819160000000.0,732993000000.0,,,,,
Other Non Operating Income Expenses,9104,5459000000.0,17975000000.0,2397000000.0,-390000000.0,,,,,
Special Income Charges,9104,23519000000.0,34671000000.0,10888000000.0,7588000000.0,,,,,
Other Special Charges,9104,-11034000000.0,-35832000000.0,-11579000000.0,-11092000000.0,,,,,
Write Off,9104,11221000000.0,1927000000.0,691000000.0,1205000000.0,,,,,
Restructuring And Mergern Acquisition,9104,-23706000000.0,-766000000.0,0.0,2299000000.0,,,,,
Net Non Operating Interest Income Expense,9104,-2579000000.0,1293000000.0,-2795000000.0,-4452000000.0,,,,,
Interest Expense Non Operating,9104,18638000000.0,18308000000.0,17268000000.0,11392000000.0,,,,,
Interest Income Non Operating,9104,16059000000.0,19601000000.0,14473000000.0,6940000000.0,,,,,
Operating Income,9104,150852000000.0,103133000000.0,108709000000.0,55006000000.0,,,,,
Operating Expense,9104,166813000000.0,145814000000.0,126770000000.0,96899000000.0,,,,,
Gross Profit,9104,317665000000.0,248947000000.0,235479000000.0,151905000000.0,,,,,
Cost Of Revenue,9104,1457805000000.0,1378965000000.0,1376504000000.0,1117405000000.0,,,,,
Total Revenue,9104,1775470000000.0,1627912000000.0,1611984000000.0,1269310000000.0,,,,,
Operating Revenue,9104,1775470000000.0,1627912000000.0,1611984000000.0,1269310000000.0,,,,,
Tax Effect Of Unusual Items,9202,-2161357200.0,-1242009900.0,1498416000.0,975857400.0,,,,,
Tax Rate For Calcs,9202,0.2172,0.2271,0.212,0.1889,,,,,
Normalized EBITDA,9202,380536000000.0,378062000000.0,282504000000.0,4424000000.0,,,,,
Total Unusual Items,9202,-9951000000.0,-5469000000.0,7068000000.0,5166000000.0,,,,,
Total Unusual Items Excluding Goodwill,9202,-9951000000.0,-5469000000.0,7068000000.0,5166000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9202,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,,,,,
Reconciled Depreciation,9202,150660000000.0,144431000000.0,150385000000.0,159621000000.0,,,,,
Reconciled Cost Of Revenue,9202,1843542000000.0,1642263000000.0,1403567000000.0,1049414000000.0,,,,,
EBITDA,9202,370585000000.0,372593000000.0,289572000000.0,9590000000.0,,,,,
EBIT,9202,219925000000.0,228162000000.0,139187000000.0,-150031000000.0,,,,,
Net Interest Income,9202,-19634000000.0,-22030000000.0,-24007000000.0,-25046000000.0,,,,,
Interest Expense,9202,23359000000.0,23324000000.0,24845000000.0,25343000000.0,,,,,
Interest Income,9202,3725000000.0,1294000000.0,838000000.0,297000000.0,,,,,
Normalized Income,9202,160816642800.0,161323990100.0,83907416000.0,-147818142600.0,,,,,
Net Income From Continuing And Discontinued Operation,9202,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,,,,,
Total Expenses,9202,2065217000000.0,1848017000000.0,1587454000000.0,1193451000000.0,,,,,
Total Operating Income As Reported,9202,196639000000.0,207911000000.0,120030000000.0,-173127000000.0,,,,,
Diluted Average Shares,9202,526372455.0,520844108.0,525840386.0,470339000.0,,,,,
Basic Average Shares,9202,470013514.0,468820317.0,470334488.0,470339000.0,,,,,
Diluted EPS,9202,290.72,301.62,170.16,-305.37,,,,,
Basic EPS,9202,325.58,335.09,190.24,-305.37,,,,,
Diluted NI Availto Com Stockholders,9202,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,,,,,
Net Income Common Stockholders,9202,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,,,,,
Otherunder Preferred Stock Dividend,9202,0.0,0.0,0.0,0.0,,,,,
Net Income,9202,153027000000.0,157097000000.0,89477000000.0,-143628000000.0,,,,,
Minority Interests,9202,-851000000.0,-1230000000.0,-621000000.0,-1389000000.0,,,,,
Net Income Including Noncontrolling Interests,9202,153878000000.0,158327000000.0,90098000000.0,-142239000000.0,,,,,
Net Income Continuous Operations,9202,153878000000.0,158327000000.0,90098000000.0,-142239000000.0,,,,,
Tax Provision,9202,42688000000.0,46511000000.0,24244000000.0,-33135000000.0,,,,,
Pretax Income,9202,196566000000.0,204838000000.0,114342000000.0,-175374000000.0,,,,,
Other Non Operating Income Expenses,9202,23140000000.0,17596000000.0,7052000000.0,16136000000.0,,,,,
Special Income Charges,9202,-10355000000.0,-2651000000.0,8110000000.0,2225000000.0,,,,,
Other Special Charges,9202,6431000000.0,2651000000.0,-8110000000.0,-11582000000.0,,,,,
Write Off,9202,3924000000.0,0.0,0.0,9357000000.0,,,,,
Restructuring And Mergern Acquisition,9202,,,,,86350000000.0,,,,
Net Non Operating Interest Income Expense,9202,-19634000000.0,-22030000000.0,-24007000000.0,-25046000000.0,,,,,
Interest Expense Non Operating,9202,23359000000.0,23324000000.0,24845000000.0,25343000000.0,,,,,
Interest Income Non Operating,9202,3725000000.0,1294000000.0,838000000.0,297000000.0,,,,,
Operating Income,9202,196639000000.0,207911000000.0,120030000000.0,-173127000000.0,,,,,
Operating Expense,9202,221675000000.0,205754000000.0,183887000000.0,144037000000.0,,,,,
Other Operating Expenses,9202,56435000000.0,53446000000.0,49879000000.0,37189000000.0,,,,,
Depreciation And Amortization In Income Statement,9202,15199000000.0,17779000000.0,22113000000.0,25379000000.0,,,,,
Depreciation Income Statement,9202,15199000000.0,17779000000.0,22113000000.0,25379000000.0,,,,,
Selling General And Administration,9202,98734000000.0,87370000000.0,68991000000.0,46028000000.0,,,,,
Selling And Marketing Expense,9202,69815000000.0,61029000000.0,46095000000.0,21906000000.0,,,,,
General And Administrative Expense,9202,28919000000.0,26341000000.0,22896000000.0,24122000000.0,,,,,
Gross Profit,9202,418314000000.0,413665000000.0,303917000000.0,-29090000000.0,,,,,
Cost Of Revenue,9202,1843542000000.0,1642263000000.0,1403567000000.0,1049414000000.0,,,,,
Total Revenue,9202,2261856000000.0,2055928000000.0,1707484000000.0,1020324000000.0,,,,,
Operating Revenue,9202,2261856000000.0,2055928000000.0,1707484000000.0,1020324000000.0,,,,,
Tax Effect Of Unusual Items,9301,10527050000.0,4141763466.938984,3473736000.0,809201704.983799,,,,,
Tax Rate For Calcs,9301,0.346,0.281465,0.322,0.291815,,,,,
Normalized EBITDA,9301,37366000000.0,41083000000.0,46409000000.0,39193000000.0,,,,,
Total Unusual Items,9301,30425000000.0,14715000000.0,10788000000.0,2773000000.0,,,,,
Total Unusual Items Excluding Goodwill,9301,30425000000.0,14715000000.0,10788000000.0,2773000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9301,31864000000.0,27787000000.0,27226000000.0,17892000000.0,,,,,
Reconciled Depreciation,9301,17694000000.0,16037000000.0,15714000000.0,15465000000.0,,,,,
Reconciled Cost Of Revenue,9301,247631000000.0,222269000000.0,265896000000.0,228595000000.0,,,,,
EBITDA,9301,67791000000.0,55798000000.0,57197000000.0,41966000000.0,,,,,
EBIT,9301,50097000000.0,39761000000.0,41483000000.0,26501000000.0,,,,,
Net Interest Income,9301,-393000000.0,-385000000.0,-239000000.0,-405000000.0,,,,,
Interest Expense,9301,873000000.0,591000000.0,532000000.0,577000000.0,,,,,
Interest Income,9301,480000000.0,325000000.0,293000000.0,172000000.0,,,,,
Normalized Income,9301,11966050000.0,17213763466.938984,19911736000.0,15928201704.983799,,,,,
Net Income From Continuing And Discontinued Operation,9301,31864000000.0,27787000000.0,27226000000.0,17892000000.0,,,,,
Total Expenses,9301,263755000000.0,235563000000.0,277563000000.0,239082000000.0,,,,,
Total Operating Income As Reported,9301,20310000000.0,18941000000.0,23027000000.0,18144000000.0,,,,,
Diluted Average Shares,9301,370856611.0,386510321.0,398041675.0,407622290.0,,,,,
Basic Average Shares,9301,370856611.0,386510321.0,398041675.0,407622290.0,,,,,
Diluted EPS,9301,85.92,71.892,68.4,43.894,,,,,
Basic EPS,9301,85.92,71.892,68.4,43.894,,,,,
Diluted NI Availto Com Stockholders,9301,31864000000.0,27787000000.0,27226000000.0,17892000000.0,,,,,
Net Income Common Stockholders,9301,31864000000.0,27787000000.0,27226000000.0,17892000000.0,,,,,
Otherunder Preferred Stock Dividend,9301,0.0,0.0,0.0,0.0,,,,,
Net Income,9301,31864000000.0,27787000000.0,27226000000.0,17892000000.0,,,,,
Minority Interests,9301,-358000000.0,-357000000.0,-522000000.0,-467000000.0,,,,,
Net Income Including Noncontrolling Interests,9301,32222000000.0,28145000000.0,27748000000.0,18359000000.0,,,,,
Net Income Continuous Operations,9301,32223000000.0,28145000000.0,27749000000.0,18359000000.0,,,,,
Tax Provision,9301,17001000000.0,11025000000.0,13202000000.0,7565000000.0,,,,,
Pretax Income,9301,49224000000.0,39170000000.0,40951000000.0,25924000000.0,,,,,
Other Non Operating Income Expenses,9301,385000000.0,452000000.0,530000000.0,313000000.0,,,,,
Special Income Charges,9301,605000000.0,-517000000.0,2074000000.0,-716000000.0,,,,,
Other Special Charges,9301,-692000000.0,517000000.0,-2247000000.0,709000000.0,,,,,
Write Off,9301,87000000.0,0.0,173000000.0,7000000.0,,,,,
Restructuring And Mergern Acquisition,9301,,,,,77000000.0,,,,
Net Non Operating Interest Income Expense,9301,-393000000.0,-385000000.0,-239000000.0,-405000000.0,,,,,
Total Other Finance Cost,9301,,119000000.0,,,,,,,
Interest Expense Non Operating,9301,873000000.0,591000000.0,532000000.0,577000000.0,,,,,
Interest Income Non Operating,9301,480000000.0,325000000.0,293000000.0,172000000.0,,,,,
Operating Income,9301,20311000000.0,18942000000.0,23028000000.0,18145000000.0,,,,,
Operating Expense,9301,16124000000.0,13294000000.0,11667000000.0,10487000000.0,,,,,
Gross Profit,9301,36435000000.0,32236000000.0,34695000000.0,28632000000.0,,,,,
Cost Of Revenue,9301,247631000000.0,222269000000.0,265896000000.0,228595000000.0,,,,,
Total Revenue,9301,284065000000.0,254504000000.0,300591000000.0,257226000000.0,,,,,
Operating Revenue,9301,284065000000.0,254504000000.0,300591000000.0,257226000000.0,,,,,
Tax Effect Of Unusual Items,9432,-6185235820.887891,-4642671633.870364,-4611269600.0,-11434626000.0,,,,,
Tax Rate For Calcs,9432,0.308214,0.320804,0.2888,0.3005,,,,,
Normalized EBITDA,9432,3476313000000.0,3753513000000.0,3489531000000.0,3450782000000.0,,,,,
Total Unusual Items,9432,-20068000000.0,-13985000000.0,-9803000000.0,-37824000000.0,,,,,
Total Unusual Items Excluding Goodwill,9432,-20068000000.0,-14472000000.0,-15967000000.0,-38052000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9432,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0,,,,,
Reconciled Depreciation,9432,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0,,,,,
Reconciled Cost Of Revenue,9432,3098603000000.0,2935465000000.0,2768711000000.0,2566127000000.0,,,,,
EBITDA,9432,3456245000000.0,3739528000000.0,3479728000000.0,3412958000000.0,,,,,
EBIT,9432,1734210000000.0,2110942000000.0,1897103000000.0,1851775000000.0,,,,,
Net Interest Income,9432,-110363000000.0,33341000000.0,-25319000000.0,7221000000.0,,,,,
Interest Expense,9432,169514000000.0,130485000000.0,79424000000.0,56250000000.0,,,,,
Interest Income,9432,59151000000.0,163826000000.0,54105000000.0,63471000000.0,,,,,
Normalized Income,9432,1013898764179.112,1289837328366.1296,1230635730400.0,1207928374000.0,,,,,
Net Income From Continuing And Discontinued Operation,9432,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0,,,,,
Total Expenses,9432,12035088000000.0,11437187000000.0,11291241000000.0,10349802000000.0,,,,,
Total Operating Income As Reported,9432,1649571000000.0,1922910000000.0,1828986000000.0,1768593000000.0,,,,,
Diluted Average Shares,9432,83613377926.0,84792644135.0,87152141738.0,89669717425.0,,,,,
Basic Average Shares,9432,83613377926.0,84792644135.0,87152141738.0,89669717425.0,,,,,
Diluted EPS,9432,11.96,15.09,13.92,13.1716,,,,,
Basic EPS,9432,11.96,15.09,13.92,13.1716,,,,,
Diluted NI Availto Com Stockholders,9432,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0,,,,,
Net Income Common Stockholders,9432,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0,,,,,
Otherunder Preferred Stock Dividend,9432,0.0,0.0,0.0,0.0,,,,,
Net Income,9432,1000016000000.0,1279521000000.0,1213116000000.0,1181083000000.0,,,,,
Minority Interests,9432,-82419000000.0,-65598000000.0,-79640000000.0,-74911000000.0,,,,,
Net Income Including Noncontrolling Interests,9432,1082435000000.0,1345119000000.0,1292756000000.0,1255994000000.0,,,,,
Net Income Continuous Operations,9432,1082435000000.0,1345119000000.0,1292756000000.0,1255994000000.0,,,,,
Tax Provision,9432,482261000000.0,635338000000.0,524923000000.0,539531000000.0,,,,,
Pretax Income,9432,1564696000000.0,1980457000000.0,1817679000000.0,1795525000000.0,,,,,
Special Income Charges,9432,-20068000000.0,-14472000000.0,-15967000000.0,-38052000000.0,,,,,
Write Off,9432,20068000000.0,13985000000.0,9803000000.0,37824000000.0,,,,,
Net Non Operating Interest Income Expense,9432,-110363000000.0,33341000000.0,-25319000000.0,7221000000.0,,,,,
Interest Expense Non Operating,9432,169514000000.0,130485000000.0,79424000000.0,56250000000.0,,,,,
Interest Income Non Operating,9432,59151000000.0,163826000000.0,54105000000.0,63471000000.0,,,,,
Operating Income,9432,1669639000000.0,1937382000000.0,1844953000000.0,1806645000000.0,,,,,
Operating Expense,9432,8936485000000.0,8501722000000.0,8522530000000.0,7783675000000.0,,,,,
Other Operating Expenses,9432,7214450000000.0,6873136000000.0,6939905000000.0,6222492000000.0,,,,,
