,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00,2021-08-31 00:00:00
Depreciation And Amortization,8058,470768000000.0,599330000000.0,583294000000.0,545043000000.0,,,,,,
Depreciation,8058,470768000000.0,599330000000.0,583294000000.0,545043000000.0,,,,,,
Gain Loss On Investment Securities,8058,-305629000000.0,-233007000000.0,-197005000000.0,-75254000000.0,,,,,,
Gain Loss On Sale Of PPE,8058,-130702000000.0,-7659000000.0,31910000000.0,57805000000.0,,,,,,
Net Income From Continuing Operations,8058,1076246000000.0,1024858000000.0,1271499000000.0,1004459000000.0,,,,,,
Free Cash Flow,7267,-555283000000.0,138613000000.0,1496534000000.0,1230396000000.0,,,,,,
Repayment Of Debt,7267,-11384934000000.0,-12181714000000.0,-11145286000000.0,-9801870000000.0,,,,,,
Issuance Of Debt,7267,12798396000000.0,13675700000000.0,10098400000000.0,9490547000000.0,,,,,,
Capital Expenditure,7267,-847435000000.0,-608665000000.0,-632488000000.0,-449226000000.0,,,,,,
End Cash Position,7267,4528795000000.0,4954565000000.0,3803014000000.0,3674931000000.0,,,,,,
Beginning Cash Position,7267,4954565000000.0,3803014000000.0,3674931000000.0,2758020000000.0,,,,,,
Effect Of Exchange Rate Changes,7267,-56433000000.0,352894000000.0,145480000000.0,229063000000.0,,,,,,
Changes In Cash,7267,-369337000000.0,798657000000.0,-17397000000.0,687848000000.0,,,,,,
Financing Cash Flow,7267,280477000000.0,918646000000.0,-1468359000000.0,-615718000000.0,,,,,,
Cash Flow From Continuing Financing Activities,7267,280477000000.0,918646000000.0,-1468359000000.0,-615718000000.0,,,,,,
Net Other Financing Charges,7267,-63143000000.0,-83466000000.0,-51376000000.0,-53813000000.0,,,,,,
Cash Dividends Paid,7267,-347805000000.0,-241865000000.0,-213475000000.0,-188402000000.0,,,,,,
Common Stock Dividend Paid,7267,-347805000000.0,-241865000000.0,-213475000000.0,-188402000000.0,,,,,,
Net Common Stock Issuance,7267,-722037000000.0,-250009000000.0,-156622000000.0,-62180000000.0,,,,,,
Net Issuance Payments Of Debt,7267,1413462000000.0,1493986000000.0,-1046886000000.0,-311323000000.0,,,,,,
Net Short Term Debt Issuance,7267,340693000000.0,-24382000000.0,442534000000.0,-472420000000.0,,,,,,
Short Term Debt Payments,7267,-8648271000000.0,-10045118000000.0,-8684799000000.0,-7960144000000.0,,,,,,
Short Term Debt Issuance,7267,8988964000000.0,10020736000000.0,9127333000000.0,7487724000000.0,,,,,,
Net Long Term Debt Issuance,7267,1072769000000.0,1518368000000.0,-1489420000000.0,161097000000.0,,,,,,
Long Term Debt Payments,7267,-2736663000000.0,-2136596000000.0,-2460487000000.0,-1841726000000.0,,,,,,
Long Term Debt Issuance,7267,3809432000000.0,3654964000000.0,971067000000.0,2002823000000.0,,,,,,
Investing Cash Flow,7267,-941966000000.0,-867267000000.0,-678060000000.0,-376056000000.0,,,,,,
Cash Flow From Continuing Investing Activities,7267,-941966000000.0,-867267000000.0,-678060000000.0,-376056000000.0,,,,,,
Net Investment Purchase And Sale,7267,28738000000.0,-80709000000.0,-38692000000.0,46062000000.0,,,,,,
Sale Of Investment,7267,447960000000.0,201367000000.0,488642000000.0,534693000000.0,,,,,,
Purchase Of Investment,7267,-419222000000.0,-282076000000.0,-527334000000.0,-488631000000.0,,,,,,
Net Business Purchase And Sale,7267,-135527000000.0,-192311000000.0,-23086000000.0,0.0,,,,,,
Sale Of Business,7267,21486000000.0,0.0,740000000.0,0.0,,,,,,
Purchase Of Business,7267,-157013000000.0,-192311000000.0,-23826000000.0,0.0,,,,,,
Net Intangibles Purchase And Sale,7267,-336632000000.0,-259985000000.0,-157440000000.0,-181083000000.0,,,,,,
Purchase Of Intangibles,7267,-336632000000.0,-259985000000.0,-157440000000.0,-181083000000.0,,,,,,
Net PPE Purchase And Sale,7267,-498545000000.0,-334262000000.0,-458842000000.0,-241035000000.0,,,,,,
Sale Of PPE,7267,12258000000.0,14418000000.0,16206000000.0,27108000000.0,,,,,,
Purchase Of PPE,7267,-510803000000.0,-348680000000.0,-475048000000.0,-268143000000.0,,,,,,
Operating Cash Flow,7267,292152000000.0,747278000000.0,2129022000000.0,1679622000000.0,,,,,,
Cash Flow From Continuing Operating Activities,7267,292152000000.0,747278000000.0,2129022000000.0,1679622000000.0,,,,,,
Taxes Refund Paid,7267,-523178000000.0,-540663000000.0,-401342000000.0,-203130000000.0,,,,,,
Interest Received Cfo,7267,737648000000.0,560709000000.0,324234000000.0,237724000000.0,,,,,,
Interest Paid Cfo,7267,-439081000000.0,-283447000000.0,-159020000000.0,-97884000000.0,,,,,,
Dividend Received Cfo,7267,126343000000.0,158092000000.0,244902000000.0,193555000000.0,,,,,,
Change In Working Capital,7267,-1349336000000.0,-1131836000000.0,855842000000.0,302622000000.0,,,,,,
Change In Other Working Capital,7267,69945000000.0,321918000000.0,309249000000.0,-127098000000.0,,,,,,
Change In Other Current Assets,7267,-690110000000.0,12661000000.0,768070000000.0,171600000000.0,,,,,,
Change In Payables And Accrued Expense,7267,185438000000.0,194098000000.0,147394000000.0,-18689000000.0,,,,,,
Change In Accrued Expense,7267,72803000000.0,157582000000.0,42122000000.0,-68811000000.0,,,,,,
Change In Payable,7267,112635000000.0,36516000000.0,105272000000.0,50122000000.0,,,,,,
Change In Account Payable,7267,112635000000.0,36516000000.0,105272000000.0,50122000000.0,,,,,,
Change In Inventory,7267,-79464000000.0,-67833000000.0,-171467000000.0,-208895000000.0,,,,,,
Change In Receivables,7267,-835145000000.0,-1592680000000.0,-197404000000.0,485704000000.0,,,,,,
Changes In Account Receivables,7267,69199000000.0,-138323000000.0,-155924000000.0,-24037000000.0,,,,,,
Other Non Cash Items,7267,-319765000000.0,-341510000000.0,-219344000000.0,-232006000000.0,,,,,,
Depreciation Amortization Depletion,7267,742863000000.0,794366000000.0,721630000000.0,611063000000.0,,,,,,
Depreciation And Amortization,7267,742863000000.0,794366000000.0,721630000000.0,611063000000.0,,,,,,
Depreciation,7267,742863000000.0,794366000000.0,721630000000.0,611063000000.0,,,,,,
Operating Gains Losses,7267,-982000000.0,-110817000000.0,-117445000000.0,-202512000000.0,,,,,,
Earnings Losses From Equity Investments,7267,-982000000.0,-110817000000.0,-117445000000.0,-202512000000.0,,,,,,
Net Income From Continuing Operations,7267,1317640000000.0,1642384000000.0,879565000000.0,1070190000000.0,,,,,,
Free Cash Flow,6954,214468000000.0,117880000000.0,52439000000.0,91218000000.0,,,,,,
Repurchase Of Capital Stock,6954,-49555000000.0,-28391000000.0,-24436000000.0,-234000000.0,,,,,,
Capital Expenditure,6954,-40805000000.0,-53884000000.0,-47066000000.0,-34363000000.0,,,,,,
End Cash Position,6954,502091000000.0,526881000000.0,476953000000.0,574655000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,6954,,,,,352000000.0,,,,,
Beginning Cash Position,6954,526881000000.0,476953000000.0,574655000000.0,577919000000.0,,,,,,
Effect Of Exchange Rate Changes,6954,-9361000000.0,14241000000.0,8715000000.0,14238000000.0,,,,,,
Changes In Cash,6954,-15429000000.0,35687000000.0,-106417000000.0,-17502000000.0,,,,,,
Financing Cash Flow,6954,-136618000000.0,-122514000000.0,-127924000000.0,-89154000000.0,,,,,,
Net Other Financing Charges,6954,-3930000000.0,-4027000000.0,-7003000000.0,-2121000000.0,,,,,,
Cash Dividends Paid,6954,-83133000000.0,-90096000000.0,-96485000000.0,-86799000000.0,,,,,,
Net Common Stock Issuance,6954,-49555000000.0,-28391000000.0,-24436000000.0,-234000000.0,,,,,,
Common Stock Payments,6954,-49555000000.0,-28391000000.0,-24436000000.0,-234000000.0,,,,,,
Investing Cash Flow,6954,-134084000000.0,-13563000000.0,-77998000000.0,-53929000000.0,,,,,,
Net Other Investing Changes,6954,-805000000.0,-389000000.0,-5415000000.0,-2379000000.0,,,,,,
Net Investment Purchase And Sale,6954,-92474000000.0,40710000000.0,-25517000000.0,-17187000000.0,,,,,,
Sale Of Investment,6954,27526000000.0,50000000000.0,44483000000.0,12012000000.0,,,,,,
Purchase Of Investment,6954,-120000000000.0,-9290000000.0,-70000000000.0,-29199000000.0,,,,,,
Net PPE Purchase And Sale,6954,-40805000000.0,-53884000000.0,-47066000000.0,-34363000000.0,,,,,,
Purchase Of PPE,6954,-40805000000.0,-53884000000.0,-47066000000.0,-34363000000.0,,,,,,
Operating Cash Flow,6954,255273000000.0,171764000000.0,99505000000.0,125581000000.0,,,,,,
Taxes Refund Paid,6954,-32363000000.0,-71503000000.0,-78480000000.0,-43332000000.0,,,,,,
Interest Received Cfo,6954,33198000000.0,25227000000.0,17546000000.0,8056000000.0,,,,,,
Change In Working Capital,6954,33303000000.0,8811000000.0,-83349000000.0,-86666000000.0,,,,,,
Change In Other Current Liabilities,6954,,,,,4252000000.0,,,,,
Change In Other Current Assets,6954,544000000.0,4175000000.0,3105000000.0,-2232000000.0,,,,,,
Change In Payable,6954,-4480000000.0,-18812000000.0,4632000000.0,2758000000.0,,,,,,
Change In Inventory,6954,52489000000.0,12556000000.0,-91119000000.0,-74740000000.0,,,,,,
Change In Receivables,6954,-4613000000.0,24798000000.0,-3375000000.0,-14498000000.0,,,,,,
Other Non Cash Items,6954,4387000000.0,3939000000.0,-4734000000.0,9253000000.0,,,,,,
Depreciation And Amortization,6954,46448000000.0,49001000000.0,49189000000.0,47077000000.0,,,,,,
Depreciation,6954,46448000000.0,49001000000.0,49189000000.0,47077000000.0,,,,,,
Gain Loss On Investment Securities,6954,,,,,-3427000000.0,,,,,
Net Income From Continuing Operations,6954,196738000000.0,181755000000.0,230103000000.0,212917000000.0,,,,,,
Free Cash Flow,7974,-6939000000.0,445974000000.0,300653000000.0,282074000000.0,,,,,,
Repurchase Of Capital Stock,7974,,,-50733000000.0,-95350000000.0,-67000000.0,,,,,
Capital Expenditure,7974,-19008000000.0,-16123000000.0,-22190000000.0,-7587000000.0,,,,,,
End Cash Position,7974,1414121000000.0,853432000000.0,1194569000000.0,1022718000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,7974,,,,1000000.0,,,,,,
Beginning Cash Position,7974,853432000000.0,1194569000000.0,1022718000000.0,932079000000.0,,,,,,
Effect Of Exchange Rate Changes,7974,-9317000000.0,64356000000.0,28474000000.0,44288000000.0,,,,,,
Changes In Cash,7974,570006000000.0,-405493000000.0,143377000000.0,46350000000.0,,,,,,
Financing Cash Flow,7974,-195126000000.0,-236958000000.0,-290973000000.0,-337010000000.0,,,,,,
Net Other Financing Charges,7974,-1935000000.0,-718000000.0,-52273000000.0,-1100000000.0,,,,,,
Cash Dividends Paid,7974,-193191000000.0,-236240000000.0,-238700000000.0,-240560000000.0,,,,,,
Common Stock Dividend Paid,7974,,,,,-194021000000.0,,,,,
Net Common Stock Issuance,7974,,,-50733000000.0,-95350000000.0,-67000000.0,,,,,
Common Stock Payments,7974,,,-50733000000.0,-95350000000.0,-67000000.0,,,,,
Investing Cash Flow,7974,753063000000.0,-630632000000.0,111507000000.0,93699000000.0,,,,,,
Net Other Investing Changes,7974,335490000000.0,-495460000000.0,128387000000.0,29398000000.0,,,,,,
Net Investment Purchase And Sale,7974,436565000000.0,-119059000000.0,5216000000.0,71881000000.0,,,,,,
Sale Of Investment,7974,1555399000000.0,1202083000000.0,729907000000.0,1015200000000.0,,,,,,
Purchase Of Investment,7974,-1118834000000.0,-1321142000000.0,-724691000000.0,-943319000000.0,,,,,,
Net PPE Purchase And Sale,7974,-18992000000.0,-16113000000.0,-22096000000.0,-7580000000.0,,,,,,
Sale Of PPE,7974,16000000.0,10000000.0,94000000.0,7000000.0,,,,,,
Purchase Of PPE,7974,-19008000000.0,-16123000000.0,-22190000000.0,-7587000000.0,,,,,,
Capital Expenditure Reported,7974,,,,,-7011000000.0,,,,,
Operating Cash Flow,7974,12069000000.0,462097000000.0,322843000000.0,289661000000.0,,,,,,
Taxes Refund Paid,7974,-148184000000.0,-183415000000.0,-189615000000.0,-264031000000.0,,,,,,
Interest Received Cfo,7974,60644000000.0,52822000000.0,24455000000.0,4862000000.0,,,,,,
Interest Paid Cfo,7974,-193000000.0,-166000000.0,-131000000.0,-281000000.0,,,,,,
Change In Working Capital,7974,-243565000000.0,86022000000.0,-9364000000.0,-50590000000.0,,,,,,
Change In Other Current Liabilities,7974,,,,,254000000.0,,,,,
Change In Other Current Assets,7974,,,,,254000000.0,,,,,
Change In Payable,7974,57275000000.0,-74541000000.0,8667000000.0,23301000000.0,,,,,,
Change In Inventory,7974,-333837000000.0,123853000000.0,-45792000000.0,-84563000000.0,,,,,,
Change In Receivables,7974,27876000000.0,37995000000.0,31513000000.0,8134000000.0,,,,,,
Other Non Cash Items,7974,-14290000000.0,-78498000000.0,-33439000000.0,-1218000000.0,,,,,,
Depreciation And Amortization,7974,15361000000.0,17856000000.0,11040000000.0,10527000000.0,,,,,,
Depreciation,7974,15361000000.0,17856000000.0,11040000000.0,10527000000.0,,,,,,
Gain Loss On Investment Securities,7974,,,,,-6770000000.0,,,,,
Net Foreign Currency Exchange Gain Loss,7974,5089000000.0,-83145000000.0,-54260000000.0,-57324000000.0,,,,,,
Net Income From Continuing Operations,7974,372331000000.0,680722000000.0,600757000000.0,674389000000.0,,,,,,
Free Cash Flow,8411,-4165745000000.0,1627967000000.0,8684070000000.0,4777925000000.0,,,,,,
Repurchase Of Capital Stock,8411,-102921000000.0,-3383000000.0,-2314000000.0,-1927000000.0,,,,,,
Repayment Of Debt,8411,-417000000000.0,-490310000000.0,-579615000000.0,-498000000000.0,,,,,,
Issuance Of Debt,8411,524500000000.0,499000000000.0,228500000000.0,181410000000.0,,,,,,
Issuance Of Capital Stock,8411,2864000000.0,2767000000.0,1615000000.0,873000000.0,,,,,,
Capital Expenditure,8411,-344945000000.0,-257011000000.0,-183176000000.0,-139261000000.0,,,,,,
Interest Paid Supplemental Data,8411,,,,,497422000000.0,,,,,
Income Tax Paid Supplemental Data,8411,,,,,216996000000.0,,,,,
End Cash Position,8411,70723361000000.0,71165815000000.0,65825681000000.0,50136299000000.0,,,,,,
Beginning Cash Position,8411,71165815000000.0,65825681000000.0,50136299000000.0,46981399000000.0,,,,,,
Effect Of Exchange Rate Changes,8411,-115716000000.0,1703938000000.0,827611000000.0,620261000000.0,,,,,,
Changes In Cash,8411,-326738000000.0,3636195000000.0,14861770000000.0,2534640000000.0,,,,,,
Financing Cash Flow,8411,-299030000000.0,-230990000000.0,-611143000000.0,-522056000000.0,,,,,,
Cash Flow From Continuing Financing Activities,8411,-299030000000.0,-230989000000.0,-611142000000.0,-522057000000.0,,,,,,
Net Other Financing Charges,8411,-2048000000.0,-4278000000.0,-49872000000.0,-7629000000.0,,,,,,
Cash Dividends Paid,8411,-304425000000.0,-234786000000.0,-209457000000.0,-196783000000.0,,,,,,
Common Stock Dividend Paid,8411,-304425000000.0,-234786000000.0,-209457000000.0,-196783000000.0,,,,,,
Net Common Stock Issuance,8411,-100057000000.0,-616000000.0,-699000000.0,-1054000000.0,,,,,,
Common Stock Payments,8411,-102921000000.0,-3383000000.0,-2314000000.0,-1927000000.0,,,,,,
Common Stock Issuance,8411,2864000000.0,2767000000.0,1615000000.0,873000000.0,,,,,,
Net Issuance Payments Of Debt,8411,107500000000.0,8690000000.0,-351115000000.0,-316590000000.0,,,,,,
Net Short Term Debt Issuance,8411,,,,,3253467000000.0,,,,,
Net Long Term Debt Issuance,8411,107500000000.0,8690000000.0,-351115000000.0,-316590000000.0,,,,,,
Long Term Debt Payments,8411,-417000000000.0,-490310000000.0,-579615000000.0,-498000000000.0,,,,,,
Long Term Debt Issuance,8411,524500000000.0,499000000000.0,228500000000.0,181410000000.0,,,,,,
Investing Cash Flow,8411,3793092000000.0,1982207000000.0,6605667000000.0,-1860490000000.0,,,,,,
Cash Flow From Continuing Investing Activities,8411,3793091000000.0,1982207000000.0,6605668000000.0,-1860491000000.0,,,,,,
Net Other Investing Changes,8411,-49018000000.0,-69868000000.0,75565000000.0,-9585000000.0,,,,,,
Net Investment Purchase And Sale,8411,4095215000000.0,2326714000000.0,6706998000000.0,-1730363000000.0,,,,,,
Sale Of Investment,8411,64165234000000.0,80378427000000.0,87685244000000.0,100748082000000.0,,,,,,
Purchase Of Investment,8411,-60070019000000.0,-78051713000000.0,-80978246000000.0,-102478445000000.0,,,,,,
Net Business Purchase And Sale,8411,2970000000.0,-31221000000.0,-3533000000.0,0.0,,,,,,
Sale Of Business,8411,2970000000.0,7927000000.0,0.0,0.0,,,,,,
Purchase Of Business,8411,0.0,-39148000000.0,-3533000000.0,0.0,,,,,,
Net Intangibles Purchase And Sale,8411,-249884000000.0,-192648000000.0,-118331000000.0,-96484000000.0,,,,,,
Sale Of Intangibles,8411,125000000.0,1240000000.0,0.0,480000000.0,,,,,,
Purchase Of Intangibles,8411,-250009000000.0,-193888000000.0,-118331000000.0,-96964000000.0,,,,,,
Net PPE Purchase And Sale,8411,-6191000000.0,-50770000000.0,-55032000000.0,-24058000000.0,,,,,,
Sale Of PPE,8411,88745000000.0,12353000000.0,9813000000.0,18239000000.0,,,,,,
Purchase Of PPE,8411,-94936000000.0,-63123000000.0,-64845000000.0,-42297000000.0,,,,,,
Operating Cash Flow,8411,-3820800000000.0,1884978000000.0,8867246000000.0,4917186000000.0,,,,,,
Cash Flow From Continuing Operating Activities,8411,-3820803000000.0,1884975000000.0,8867243000000.0,4917181000000.0,,,,,,
Taxes Refund Paid,8411,-124107000000.0,-287693000000.0,-133371000000.0,-164408000000.0,,,,,,
Interest Received Cfo,8411,5907980000000.0,5571589000000.0,3027958000000.0,1424865000000.0,,,,,,
Interest Paid Cfo,8411,-5043512000000.0,-4756988000000.0,-2028391000000.0,-273855000000.0,,,,,,
Change In Working Capital,8411,-4326466000000.0,3096686000000.0,7522956000000.0,4943137000000.0,,,,,,
Change In Other Working Capital,8411,1919568000000.0,278194000000.0,5590700000000.0,4750051000000.0,,,,,,
Change In Other Current Liabilities,8411,-58715000000.0,221992000000.0,-842483000000.0,979866000000.0,,,,,,
Change In Other Current Assets,8411,-24666000000.0,481658000000.0,426846000000.0,-342269000000.0,,,,,,
Change In Payables And Accrued Expense,8411,-32930000000.0,-550220000000.0,366812000000.0,6676000000.0,,,,,,
Change In Accrued Expense,8411,,,,,-72850000000.0,,,,,
Change In Payable,8411,-32930000000.0,-550220000000.0,366812000000.0,6676000000.0,,,,,,
Change In Receivables,8411,,,,,8052000000.0,,,,,
Other Non Cash Items,8411,-1724643000000.0,-1719138000000.0,148245000000.0,-846197000000.0,,,,,,
Asset Impairment Charge,8411,23270000000.0,7963000000.0,51545000000.0,27585000000.0,,,,,,
Deferred Tax,8411,,,,,50701000000.0,,,,,
Deferred Income Tax,8411,,,,,50701000000.0,,,,,
Depreciation Amortization Depletion,8411,205922000000.0,178193000000.0,166937000000.0,165638000000.0,,,,,,
Depreciation And Amortization,8411,205922000000.0,178193000000.0,166937000000.0,165638000000.0,,,,,,
Amortization Cash Flow,8411,7315000000.0,5020000000.0,3771000000.0,3741000000.0,,,,,,
Amortization Of Intangibles,8411,7315000000.0,5020000000.0,3771000000.0,3741000000.0,,,,,,
Depreciation,8411,198607000000.0,173173000000.0,163166000000.0,161897000000.0,,,,,,
Operating Gains Losses,8411,70672000000.0,-1160669000000.0,-667597000000.0,-963451000000.0,,,,,,
Pension And Employee Benefit Expense,8411,-21411000000.0,-52738000000.0,-47627000000.0,-74254000000.0,,,,,,
Earnings Losses From Equity Investments,8411,-46782000000.0,-26221000000.0,-11889000000.0,-25434000000.0,,,,,,
Gain Loss On Investment Securities,8411,2393000000.0,-24038000000.0,50633000000.0,62305000000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,8411,160885000000.0,-1061035000000.0,-662938000000.0,-928800000000.0,,,,,,
Gain Loss On Sale Of PPE,8411,-23674000000.0,3358000000.0,4202000000.0,2647000000.0,,,,,,
Net Income From Continuing Operations,8411,1190084000000.0,955035000000.0,778964000000.0,603872000000.0,,,,,,
Free Cash Flow,8766,1318932000000.0,1051401000000.0,982833000000.0,1073190000000.0,,,,,,
Repurchase Of Capital Stock,8766,-269038000000.0,-62917000000.0,-111691000000.0,-93736000000.0,,,,,,
Repayment Of Debt,8766,-38945000000.0,-182406000000.0,-23395000000.0,-65055000000.0,,,,,,
Issuance Of Debt,8766,75919000000.0,45483000000.0,25564000000.0,44505000000.0,,,,,,
Issuance Of Capital Stock,8766,12834000000.0,11218000000.0,11091000000.0,6794000000.0,,,,,,
Capital Expenditure,8766,-26148000000.0,-20723000000.0,-24877000000.0,-29050000000.0,,,,,,
End Cash Position,8766,1469794000000.0,1086981000000.0,985382000000.0,912216000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,8766,1000000.0,,2000000.0,-4297000000.0,2748000000.0,,,,,
Beginning Cash Position,8766,1086981000000.0,985382000000.0,912216000000.0,924687000000.0,,,,,,
Effect Of Exchange Rate Changes,8766,61550000000.0,63326000000.0,56615000000.0,59659000000.0,,,,,,
Changes In Cash,8766,321262000000.0,38273000000.0,16549000000.0,-67833000000.0,,,,,,
Financing Cash Flow,8766,-1188437000000.0,-406204000000.0,-1009226000000.0,-504629000000.0,,,,,,
Net Other Financing Charges,8766,-686915000000.0,2455000000.0,-718080000000.0,-244885000000.0,,,,,,
Cash Dividends Paid,8766,-281243000000.0,-219142000000.0,-192008000000.0,-151571000000.0,,,,,,
Common Stock Dividend Paid,8766,-281243000000.0,-219142000000.0,-192008000000.0,-151571000000.0,,,,,,
Net Common Stock Issuance,8766,-256204000000.0,-51699000000.0,-100600000000.0,-86942000000.0,,,,,,
Common Stock Payments,8766,-269038000000.0,-62917000000.0,-111691000000.0,-93736000000.0,,,,,,
Common Stock Issuance,8766,12834000000.0,11218000000.0,11091000000.0,6794000000.0,,,,,,
Net Issuance Payments Of Debt,8766,36974000000.0,-136923000000.0,2169000000.0,-20550000000.0,,,,,,
Net Short Term Debt Issuance,8766,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,,,,,
Short Term Debt Payments,8766,-3000000000.0,-5000000000.0,-10000000000.0,-10000000000.0,,,,,,
Short Term Debt Issuance,8766,2999000000.0,4999000000.0,9999000000.0,9999000000.0,,,,,,
Net Long Term Debt Issuance,8766,36975000000.0,-136922000000.0,2170000000.0,-20549000000.0,,,,,,
Long Term Debt Payments,8766,-35945000000.0,-177406000000.0,-13395000000.0,-55055000000.0,,,,,,
Long Term Debt Issuance,8766,72920000000.0,40484000000.0,15565000000.0,34506000000.0,,,,,,
Investing Cash Flow,8766,164619000000.0,-627647000000.0,18065000000.0,-665444000000.0,,,,,,
Net Other Investing Changes,8766,-735383000000.0,-423600000000.0,-304612000000.0,-219110000000.0,,,,,,
Net Investment Purchase And Sale,8766,1167662000000.0,-6918000000.0,631459000000.0,-208746000000.0,,,,,,
Sale Of Investment,8766,4543102000000.0,2253080000000.0,2647425000000.0,2046983000000.0,,,,,,
Purchase Of Investment,8766,-3375440000000.0,-2259998000000.0,-2015966000000.0,-2255729000000.0,,,,,,
Net Business Purchase And Sale,8766,-62671000000.0,-2383000000.0,317000000.0,0.0,,,,,,
Sale Of Business,8766,,0.0,26428000000.0,0.0,262000000.0,,,,,
Purchase Of Business,8766,-62671000000.0,-2383000000.0,-26111000000.0,0.0,,,,,,
Net PPE Purchase And Sale,8766,-12108000000.0,-5385000000.0,-6079000000.0,-23810000000.0,,,,,,
Sale Of PPE,8766,14040000000.0,15338000000.0,18798000000.0,5240000000.0,,,,,,
Purchase Of PPE,8766,-26148000000.0,-20723000000.0,-24877000000.0,-29050000000.0,,,,,,
Operating Cash Flow,8766,1345080000000.0,1072124000000.0,1007710000000.0,1102240000000.0,,,,,,
Taxes Refund Paid,8766,-190509000000.0,-143508000000.0,-225446000000.0,-223279000000.0,,,,,,
Interest Received Cfo,8766,982908000000.0,847889000000.0,665382000000.0,552023000000.0,,,,,,
Interest Paid Cfo,8766,-26736000000.0,-27358000000.0,-12829000000.0,-8788000000.0,,,,,,
Change In Working Capital,8766,445864000000.0,538393000000.0,430811000000.0,775423000000.0,,,,,,
Change In Other Current Liabilities,8766,23446000000.0,29954000000.0,-140087000000.0,68425000000.0,,,,,,
Change In Other Current Assets,8766,-85524000000.0,-306666000000.0,-88391000000.0,-68773000000.0,,,,,,
Other Non Cash Items,8766,-844456000000.0,-879795000000.0,-627553000000.0,-564790000000.0,,,,,,
Provisionand Write Offof Assets,8766,2566000000.0,8702000000.0,3740000000.0,764000000.0,,,,,,
Depreciation And Amortization,8766,236858000000.0,212320000000.0,193206000000.0,161906000000.0,,,,,,
Amortization Cash Flow,8766,89893000000.0,84404000000.0,80692000000.0,72152000000.0,,,,,,
Depreciation,8766,146965000000.0,127916000000.0,112514000000.0,89754000000.0,,,,,,
Gain Loss On Investment Securities,8766,-689963000000.0,-260510000000.0,-22581000000.0,-118255000000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,8766,-22639000000.0,-45216000000.0,-22448000000.0,-26178000000.0,,,,,,
Gain Loss On Sale Of PPE,8766,-395000000.0,2178000000.0,-3270000000.0,-601000000.0,,,,,,
Net Income From Continuing Operations,8766,1450272000000.0,821861000000.0,519662000000.0,554272000000.0,,,,,,
Free Cash Flow,9022,159638000000.0,269303000000.0,32639000000.0,-412887000000.0,,,,,,
Repurchase Of Capital Stock,9022,0.0,-1000000.0,0.0,0.0,,,,,,
Repayment Of Debt,9022,-116762000000.0,-186699000000.0,-491174000000.0,-330359000000.0,,,,,,
Issuance Of Debt,9022,59602000000.0,94652000000.0,302440000000.0,346245000000.0,,,,,,
Issuance Of Capital Stock,9022,,,0.0,336000000.0,6542000000.0,,,,,
Capital Expenditure,9022,-464912000000.0,-403575000000.0,-454067000000.0,-484633000000.0,,,,,,
End Cash Position,9022,394701000000.0,821720000000.0,710526000000.0,619460000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,9022,-1000000.0,-1000000.0,,,-1000000.0,,,,,
Beginning Cash Position,9022,821720000000.0,710526000000.0,619460000000.0,719941000000.0,,,,,,
Changes In Cash,9022,-427018000000.0,111195000000.0,91066000000.0,-100481000000.0,,,,,,
Financing Cash Flow,9022,-95532000000.0,-125127000000.0,-220604000000.0,-19178000000.0,,,,,,
Net Other Financing Charges,9022,-8531000000.0,-5275000000.0,-6099000000.0,-9649000000.0,,,,,,
Cash Dividends Paid,9022,-29550000000.0,-27580000000.0,-25610000000.0,-25610000000.0,,,,,,
Net Common Stock Issuance,9022,0.0,-1000000.0,0.0,336000000.0,,,,,,
Common Stock Payments,9022,0.0,-1000000.0,0.0,0.0,,,,,,
Common Stock Issuance,9022,,,0.0,336000000.0,6542000000.0,,,,,
Net Issuance Payments Of Debt,9022,-57160000000.0,-92047000000.0,-188734000000.0,15886000000.0,,,,,,
Net Short Term Debt Issuance,9022,3052000000.0,4752000000.0,-203397000000.0,745000000.0,,,,,,
Short Term Debt Payments,9022,,0.0,-403397000000.0,-200000000000.0,-100000000000.0,,,,,
Short Term Debt Issuance,9022,3052000000.0,4752000000.0,200000000000.0,200745000000.0,,,,,,
Net Long Term Debt Issuance,9022,-60212000000.0,-96799000000.0,14663000000.0,15141000000.0,,,,,,
Long Term Debt Payments,9022,-116762000000.0,-186699000000.0,-87777000000.0,-130359000000.0,,,,,,
Long Term Debt Issuance,9022,56550000000.0,89900000000.0,102440000000.0,145500000000.0,,,,,,
Investing Cash Flow,9022,-956036000000.0,-436556000000.0,-175036000000.0,-153049000000.0,,,,,,
Net Other Investing Changes,9022,-5765000000.0,6338000000.0,4442000000.0,6332000000.0,,,,,,
